Recency,Frequency,Monetary,Cluster
326,2,24692.0,1
2,182,2247154.0,0
75,31,382788.0,0
19,73,901477.0,0
310,17,209950.0,1
36,95,1173440.0,0
204,4,49412.0,1
232,58,716532.0,1
214,13,160615.0,1
23,59,729004.0,0
33,131,1618767.0,0
2,19,234802.0,0
8,251,3102109.0,0
52,129,1594440.0,0
287,10,123610.0,1
3,274,3387188.0,0
110,23,284349.0,0
8,85,1050940.0,0
291,23,284395.0,1
4,11,136037.0,0
51,166,2053420.0,0
45,63,779373.0,0
72,52,643344.0,0
311,14,173222.0,1
25,33,408342.0,0
3,18,222750.0,0
315,77,953029.0,1
130,219,2710782.0,0
82,41,507539.0,0
22,105,1299900.0,0
5,91,1126671.0,0
185,100,1238300.0,1
29,30,371520.0,0
338,10,123860.0,1
16,100,1238800.0,0
80,32,396480.0,0
22,93,1152363.0,0
72,64,793152.0,0
64,27,334638.0,0
16,159,1970805.0,0
36,126,1562022.0,0
46,85,1053830.0,0
119,59,731541.0,0
303,5,62005.0,1
323,11,136422.0,1
50,6,74418.0,0
149,54,669870.0,1
22,108,1339848.0,0
50,77,955339.0,0
33,113,1402104.0,0
79,114,1414626.0,0
301,28,347480.0,1
75,61,757132.0,0
67,40,496520.0,0
217,18,223452.0,1
24,778,9658870.0,3
3,198,2458566.0,0
113,34,422212.0,0
64,29,360180.0,0
16,46,571366.0,0
96,39,484458.0,0
1,126,1565298.0,0
163,30,372720.0,1
78,36,447300.0,0
195,30,372780.0,1
12,35,434945.0,0
26,300,3728400.0,0
9,97,1205613.0,0
43,11,136730.0,0
36,239,2971009.0,0
43,108,1342656.0,0
1,420,5221860.0,3
85,54,671436.0,0
80,36,447660.0,0
100,16,198976.0,0
2,201,2499837.0,0
14,98,1218924.0,0
367,11,136851.0,1
3,12,149304.0,0
21,177,2202588.0,0
22,4,49780.0,0
58,58,721868.0,0
243,26,323622.0,1
44,22,273856.0,0
22,191,2377759.0,0
156,8,99600.0,1
11,355,4420105.0,3
17,23,286396.0,0
134,43,535479.0,0
53,30,373620.0,0
73,90,1120950.0,0
44,129,1606824.0,0
58,68,847076.0,0
71,38,473404.0,0
94,35,436135.0,0
2,72,897264.0,0
46,88,1096744.0,0
10,29,361456.0,0
8,51,635715.0,0
143,40,498720.0,0
2,530,6609630.0,3
31,391,4876552.0,3
29,178,2220194.0,0
17,455,5675670.0,3
54,36,449100.0,0
1,264,3293664.0,0
23,308,3842916.0,0
4,36,449208.0,0
4,35,436765.0,0
28,154,1921920.0,0
23,217,2708377.0,0
17,81,1011123.0,0
33,347,4331948.0,3
10,55,686840.0,0
336,15,187335.0,1
5,245,3060050.0,0
39,26,324766.0,0
63,20,249840.0,0
166,23,287339.0,1
10,84,1049496.0,0
82,14,174958.0,0
21,23,287454.0,0
23,65,812500.0,0
315,160,2000160.0,1
96,147,1837794.0,0
338,1,12503.0,1
18,15,187560.0,0
301,1,12505.0,1
233,23,287638.0,1
134,23,287661.0,0
26,68,850544.0,0
284,7,87563.0,1
143,33,412830.0,0
66,31,387872.0,0
85,36,450468.0,0
267,51,638214.0,1
353,16,200240.0,1
78,26,325416.0,0
28,281,3517277.0,0
1,124,1552232.0,0
64,17,212823.0,0
79,155,1940600.0,0
143,38,475798.0,0
39,12,150264.0,0
2,110,1377530.0,0
9,144,1803456.0,0
1,71,889346.0,0
82,18,225486.0,0
9,95,1190160.0,0
60,68,852040.0,0
15,17,213027.0,0
30,16,200512.0,0
131,63,789642.0,0
92,34,426190.0,0
8,273,3422328.0,0
29,21,263298.0,0
22,274,3435686.0,0
20,481,6031740.0,3
30,52,652132.0,0
30,20,250880.0,0
75,50,627250.0,0
47,70,878220.0,0
198,8,100376.0,1
166,5,62740.0,1
79,57,715350.0,0
358,10,125510.0,1
39,20,251040.0,0
8,196,2460388.0,0
50,119,1494164.0,0
16,33,414381.0,0
2,22,276276.0,0
311,22,276298.0,1
5,111,1394160.0,0
303,16,200976.0,1
8,168,2110416.0,0
261,21,263844.0,1
282,10,125650.0,1
73,20,251320.0,0
23,463,5818521.0,3
2,191,2400679.0,0
40,34,427414.0,0
9,62,779464.0,0
227,28,352044.0,1
316,11,138314.0,1
36,89,1119264.0,0
35,147,1848819.0,0
21,120,1509360.0,0
73,31,389949.0,0
247,24,301920.0,1
40,15,188715.0,0
239,22,276804.0,1
3,251,3158333.0,0
4,126,1585584.0,0
234,97,1220745.0,1
17,12,151032.0,0
8,4,50348.0,0
39,10,125880.0,0
29,35,440615.0,0
190,70,881300.0,1
317,26,327366.0,1
92,18,226656.0,0
109,21,264453.0,0
38,119,1498686.0,0
51,27,340092.0,0
19,214,2695758.0,0
10,133,1675534.0,0
29,62,781138.0,0
29,65,819000.0,0
190,29,365429.0,1
59,12,151224.0,0
22,3,37809.0,0
79,16,201664.0,0
365,3,37815.0,1
58,202,2546614.0,0
78,60,756540.0,0
23,111,1399710.0,0
52,65,819715.0,0
58,21,264852.0,0
31,163,2055919.0,0
278,20,252280.0,1
2,105,1324575.0,0
85,36,454176.0,0
29,41,517297.0,0
22,11,138798.0,0
16,95,1198805.0,0
15,92,1161040.0,0
2,474,5982354.0,3
232,11,138842.0,1
276,18,227214.0,1
106,38,479712.0,0
212,91,1148875.0,1
23,307,3876182.0,0
11,230,2904210.0,0
4,43,543004.0,0
10,64,808320.0,0
57,31,391561.0,0
59,103,1301199.0,0
90,101,1276135.0,0
67,386,4877882.0,3
